职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
ai钢琴声音识别算法工程师,趣乐科技（百万琴友家园）,18k-25k,[北京·北苑],经验3-5年 , 本科,"移动互联网,硬件 ",IT技术服务｜咨询,“具有竞争力薪资，一起打造全新的音乐IT生态圈”
语音识别算法实习生,标贝科技,4k-6k,[北京·西三旗],暂无,暂无,"人工智能服务,数据服务",人工智能服务数据服务｜咨询Python,“大牛带队”
数字图像智能识别算法研究专员(工作地点杭州),之江实验室,25k-40k,[成都·双楠],暂无,暂无,智能硬件 ,JAVA人工智能服务C语言智能硬件,“人工智能 国家事业 科学技术研究 大咖云集”
数字图像智能识别算法研究专员(工作地点杭州),之江实验室,25k-40k,[武汉·小东门],暂无,暂无,智能硬件 ,JAVA人工智能服务C语言智能硬件,“人工智能 国家事业 科学技术研究 大咖云集”
测试工程师-人脸识别/空间计算/SLAM（高薪+双休）,诚迈科技（南京）有限公司,15k-26k,[深圳·福田区],经验1-3年 , 大专,区块链 ,人工智能服务IT技术服务｜咨询无明显侧重图像｜视频处理深度学习经验,"“高薪,方案,双休”"
图像、人脸识别算法工程师,星汇,20k-35k,[深圳·科技园],经验3-5年 , 本科,"生活服务,智能硬件 ",C++PyTorch智能硬件OpenCVPython,“区块链行业项目”
图像识别算法工程师,捷顺科技股份,25k-35k,[深圳·龙华新区],经验5-10年 , 硕士,"社交媒体,MCN",JAVA能源｜矿产｜环保C++IT技术服务｜咨询TensorFlow,“上市公司；股权激励；年终奖金；免费班车”
图像识别算法负责人,武汉益铭鲸仁文化传媒有限公司,15k-30k,[重庆·九龙坡区],经验5-10年 , 硕士,软件服务,软件服务｜咨询语音｜音频处理人工智能服务C语言,“人工智能、大数据”
声纹识别工程师,网进科技,12k-24k,[成都·武侯区],经验3-5年 , 硕士,专业服务,语音｜音频处理人工智能服务,“五险一金、定期体检、年假、双休”
数字图像智能识别算法研究专员(工作地点杭州),之江实验室,25k-40k,[上海·黄浦区],暂无,暂无,智能硬件 ,JAVA人工智能服务C语言智能硬件,“人工智能 国家事业 科学技术研究 大咖云集”
数字图像智能识别算法研究专员,之江实验室,18k-25k,[杭州·余杭区],暂无,暂无,智能硬件 ,C++人工智能服务MATLAB,“人工智能 国家事业 科学技术研究 大咖云集”
语音识别,某知名互联网公司,50k-65k,[上海·浦东新区],经验3-5年 , 硕士,专业服务,语音｜音频处理人工智能服务物联网,“待遇好，公司有发展前景”
语音识别算法工程师,新大瀚人力资源管理,50k-80k,[北京·朝外],经验5-10年 , 本科,网络通信 ,C++语音｜音频处理人工智能服务C语言IT技术服务｜咨询,“有发展前景”
图像识别工程师(J10258),海格通信,15k-25k,[广州·黄埔区],经验不限 , 本科,IT技术服务,网络通信,"“免费班车,五险一金,绩效奖金”"
指纹识别算法工程师,雅斯妮,20k-40k,[西安·雁塔区],经验3-5年 , 硕士,软件开发 ,C++不限,“世界500强”
图像识别工程师,道辰科技,6k-12k,[佛山·禅城区],经验1-3年 , 本科,软件服务,算法机器学习图像处理深度学习Python,“年底分红”
图像识别工程师,网进科技,12k-24k,[成都·武侯区],经验3-5年 , 硕士,人工智能服务 ,软件服务｜咨询Shell人工智能服务MATLABPython,“五险一金、定期体检、年假、双休”
人脸识别算法工程师,格灵深瞳,25k-50k,[北京·西三旗],经验1-3年 , 硕士,"人工智能服务,教育",C++人工智能服务,“2个月年终奖，弹性办公，七险一金”
图像识别算法工程师,云动家体育科技,20k-40k,[惠州·惠城区],经验10年以上 , 硕士,智能硬件 ,语音｜音频处理智能硬件游戏图像｜视频处理Python,“弹性上班，工作氛围轻松自由”
人脸识别算法工程师,睿云联,20k-30k,[厦门·思明区],经验5-10年 , 本科,IT技术服务,智能硬件ncnn图像｜视频处理Python,“股权激励”
图像识别与数据算法工程师,信盾科技,8k-12k,[合肥·五里墩],经验1-3年 , 本科,专业服务,软件服务｜咨询C++IT技术服务｜咨询研究导向计算机相关专业,“双休，生日福利，五险一金，带薪年假，定期体检”
